request execution time 0 is 18.910000 
request execution time 1 is 18.731001 
request execution time 2 is 18.839001 
request execution time 3 is 17.035999 
request execution time 4 is 5.800000 
request execution time 5 is 6.588000 
request execution time 6 is 5.068000 
request execution time 7 is 5.724000 
request execution time 8 is 5.635000 
request execution time 9 is 5.777000 
request execution time 10 is 5.399000 
request execution time 11 is 15.992000 
request execution time 12 is 18.242001 
request execution time 13 is 17.728001 
request execution time 14 is 18.910999 
request execution time 15 is 19.364000 
request execution time 16 is 19.163000 
request execution time 17 is 19.090000 
request execution time 18 is 10.155000 
request execution time 19 is 5.704000 
